id,X,Y,Z_CP,dZ,d_perp,n_inliers,status
1,1221893.076,124310.478,211.52,376757.16823005315,365699.2236242055,195,ok
2,1221886.93,124353.38,211.42,376749.9370365996,365692.20466861606,195,ok
3,1221830.674,124394.858,211.114,376732.3362426273,365675.1204636331,195,ok
4,1221802.408,124425.987,211.124,376722.2509602808,365665.33118758164,195,ok
5,1221763.901,124425.983,214.617,302547.6837270478,296666.0507880106,200,ok
6,1221770.901,124456.613,211.666,376712.096451721,365655.4747171286,195,ok
